"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","mouse_click","stim_duration","exp_stage","stim","coded_response","trial_num","reference","stim_rating","reference_rating","responses","credit_var"
"","1606","","1606","500","stim","single-stim-button","74","194730","0.0-73.0","dietary_decision","true","0","","Healthy","1606","health_rating","keeblerrainbow","1","20","","","","",""
"","1992","","1992","500","stim","single-stim-button","75","197227","0.0-74.0","dietary_decision","true","0","","Neutral","1992","health_rating","Reeses","0","21","","","","",""
"","1188","","1188","500","stim","single-stim-button","76","198928","0.0-75.0","dietary_decision","true","0","","Neutral","1188","health_rating","cranberries","0","22","","","","",""
"","1032","","1032","500","stim","single-stim-button","77","200469","0.0-76.0","dietary_decision","true","0","","Neutral","1032","health_rating","reddelicious","0","23","","","","",""
"","1600","","1600","500","stim","single-stim-button","78","202582","0.0-77.0","dietary_decision","true","0","","Healthy","1600","health_rating","ChipsAhoy","1","24","","","","",""
"","1422","","1422","500","stim","single-stim-button","79","204513","0.0-78.0","dietary_decision","true","0","","Healthy","1422","health_rating","KitKat","1","25","","","","",""
"","2944","","2944","500","stim","single-stim-button","80","207961","0.0-79.0","dietary_decision","true","0","","Healthy","2944","health_rating","blueberryyogart","1","26","","","","",""
"","-1","","4000","500","stim","single-stim-button","81","212471","0.0-80.0","dietary_decision","true","0","","-1","4000","health_rating","Lindt","NaN","27","","","","",""
"","1451","","1451","500","stim","single-stim-button","82","214436","0.0-81.0","dietary_decision","true","0","","Neutral","1451","health_rating","HoHo","0","28","","","","",""
"","2052","","2052","500","stim","single-stim-button","83","217002","0.0-82.0","dietary_decision","true","0","","Unhealthy","2052","health_rating","Ghiradelli","-1","29","","","","",""
"","1479","","1479","500","stim","single-stim-button","84","218985","0.0-83.0","dietary_decision","true","0","","Unhealthy","1479","health_rating","ruffles","-1","30","","","","",""
"","1411","","1411","500","stim","single-stim-button","85","220912","0.0-84.0","dietary_decision","true","0","","Unhealthy","1411","health_rating","ffraspsorbet","-1","31","","","","",""
"","1528","","1528","500","stim","single-stim-button","86","222944","0.0-85.0","dietary_decision","true","0","","Neutral","1528","health_rating","wwmuffin","0","32","","","","",""
"","1404","","1404","500","stim","single-stim-button","87","224861","0.0-86.0","dietary_decision","true","0","","Neutral","1404","health_rating","icecreamsandwich","0","33","","","","",""
"","-1","","4000","500","stim","single-stim-button","88","229376","0.0-87.0","dietary_decision","true","0","","-1","4000","health_rating","grannysmith","NaN","34","","","","",""
"","1314","","1314","500","stim","single-stim-button","89","231191","0.0-88.0","dietary_decision","true","0","","Healthy","1314","health_rating","keeblerfudgestripes","1","35","","","","",""
"","1374","","1374","500","stim","single-stim-button","90","233078","0.0-89.0","dietary_decision","true","0","","Healthy","1374","health_rating","100Grand","1","36","","","","",""
"","928","","928","500","stim","single-stim-button","91","234518","0.0-90.0","dietary_decision","true","0","","Healthy","928","health_rating","RiceKrispyTreat","1","37","","","","",""
"","1843","","1843","500","stim","single-stim-button","92","236870","0.0-91.0","dietary_decision","true","0","","Unhealthy","1843","health_rating","laysclassic","-1","38","","","","",""
"","1271","","1271","500","stim","single-stim-button","93","238646","0.0-92.0","dietary_decision","true","0","","Healthy","1271","health_rating","cookiencream","1","39","","","","",""
"","2182","","2182","500","stim","single-stim-button","94","241341","0.0-93.0","dietary_decision","true","0","","Healthy","2182","health_rating","redgrapes","1","40","","","","",""
"","3075","","3075","500","stim","single-stim-button","95","244920","0.0-94.0","dietary_decision","true","0","","Unhealthy","3075","health_rating","strawberries","-1","41","","","","",""
"","1389","","1389","500","stim","single-stim-button","96","246821","0.0-95.0","dietary_decision","true","0","","Unhealthy","1389","health_rating","orange","-1","42","","","","",""
"","1219","","1219","500","stim","single-stim-button","97","248542","0.0-96.0","dietary_decision","true","0","","Healthy","1219","health_rating","banana","1","43","","","","",""
"","1189","","1189","500","stim","single-stim-button","98","250238","0.0-97.0","dietary_decision","true","0","","Healthy","1189","health_rating","MrsFields","1","44","","","","",""
"","836","","836","500","stim","single-stim-button","99","251585","0.0-98.0","dietary_decision","true","0","","Healthy","836","health_rating","uToberlorone","1","45","","","","",""
"","910","","910","500","stim","single-stim-button","100","253003","0.0-99.0","dietary_decision","true","0","","Healthy","910","health_rating","slimfastC","1","46","","","","",""
"","745","","745","500","stim","single-stim-button","101","254252","0.0-100.0","dietary_decision","true","0","","Healthy","745","health_rating","sbdietbar","1","47","","","","",""
"","602","","602","500","stim","single-stim-button","102","255360","0.0-101.0","dietary_decision","true","0","","Healthy","602","health_rating","raisins","1","48","","","","",""
"","506","","506","500","stim","single-stim-button","103","256378","0.0-102.0","dietary_decision","true","0","","Healthy","506","health_rating","Oreos","1","49","","","","",""
"","","","","","setup test","call-function","104","256911","0.0-103.0","dietary_decision","true","0","","","","","","","","","","","",""
"<div class = dd_centerbox><p class = ""block-text"">In the next block of trials you should choose whether you would rather eat the food shown on each trial OR the food shown below. You will select response from ""Strong No"", ""No"", ""Neutral"", ""Yes"" and ""Strong Yes"". ""No"" means that you would rather eat the food below, while ""Yes"" means you would rather eat the food displayed on that trial.</p><p class = block-text>Take these decisions seriously. Imagine that at the end of the experiment you had to eat the food you chose in one random decision.</p><p class = block-text>Press <strong>enter</strong> to begin.</p></div></div><div class = dd_referenceBox><img class = dd_Stim src = /static/experiments/dietary_decision/images/FamousAmos.bmp </img></div>","25594","13","25594","500","decision_text","poldrack-text","105","282505","0.0-104.0","dietary_decision","true","0","","","","","","","","","","","",""
"","1955","","1955","500","stim","single-stim-button","106","284970","0.0-105.0","dietary_decision","true","0","","No","1955","decision","Doritosranch","-1","0","FamousAmos","{""taste"":1,""health"":-1}","{""taste"":1,""health"":0}","",""
"","2055","","2055","500","stim","single-stim-button","107","287527","0.0-106.0","dietary_decision","true","0","","Yes","2055","decision","ChipsAhoy","1","1","FamousAmos","{""taste"":1,""health"":1}","{""taste"":1,""health"":0}","",""
"","1972","","1972","500","stim","single-stim-button","108","290005","0.0-107.0","dietary_decision","true","0","","Strong_Yes","1972","decision","Lindt","2","2","FamousAmos","{""taste"":2,""health"":""NaN""}","{""taste"":1,""health"":0}","",""
"","1571","","1571","500","stim","single-stim-button","109","292088","0.0-108.0","dietary_decision","true","0","","Yes","1571","decision","laysclassic","1","3","FamousAmos","{""taste"":1,""health"":-1}","{""taste"":1,""health"":0}","",""
"","1944","","1944","500","stim","single-stim-button","110","294544","0.0-109.0","dietary_decision","true","0","","No","1944","decision","frozenyogart","-1","4","FamousAmos","{""taste"":2,""health"":1}","{""taste"":1,""health"":0}","",""
"","1464","","1464","500","stim","single-stim-button","111","296521","0.0-110.0","dietary_decision","true","0","","Yes","1464","decision","KitKat","1","5","FamousAmos","{""taste"":2,""health"":1}","{""taste"":1,""health"":0}","",""
"","1778","","1778","500","stim","single-stim-button","112","298812","0.0-111.0","dietary_decision","true","0","","Strong_No","1778","decision","strawberries","-2","6","FamousAmos","{""taste"":0,""health"":-1}","{""taste"":1,""health"":0}","",""
"","2177","","2177","500","stim","single-stim-button","113","301494","0.0-112.0","dietary_decision","true","0","","Yes","2177","decision","Reeses","1","7","FamousAmos","{""taste"":2,""health"":0}","{""taste"":1,""health"":0}","",""
"","1709","","1709","500","stim","single-stim-button","114","303711","0.0-113.0","dietary_decision","true","0","","Neutral","1709","decision","butterfinger","0","8","FamousAmos","{""taste"":2,""health"":1}","{""taste"":1,""health"":0}","",""
"","1136","","1136","500","stim","single-stim-button","115","305352","0.0-114.0","dietary_decision","true","0","","Yes","1136","decision","orange","1","9","FamousAmos","{""taste"":2,""health"":-1}","{""taste"":1,""health"":0}","",""
"","1314","","1314","500","stim","single-stim-button","116","307178","0.0-115.0","dietary_decision","true","0","","Yes","1314","decision","RiceKrispyTreat","1","10","FamousAmos","{""taste"":1,""health"":1}","{""taste"":1,""health"":0}","",""
"","1501","","1501","500","stim","single-stim-button","117","309185","0.0-116.0","dietary_decision","true","0","","Neutral","1501","decision","slimfastV","0","11","FamousAmos","{""taste"":2,""health"":0}","{""taste"":1,""health"":0}","",""
"","1687","","1687","500","stim","single-stim-button","118","311387","0.0-117.0","dietary_decision","true","0","","No","1687","decision","redgrapes","-1","12","FamousAmos","{""taste"":1,""health"":1}","{""taste"":1,""health"":0}","",""
"","1738","","1738","500","stim","single-stim-button","119","313628","0.0-118.0","dietary_decision","true","0","","Yes","1738","decision","mixedyogart","1","13","FamousAmos","{""taste"":0,""health"":0}","{""taste"":1,""health"":0}","",""
"","870","","870","500","stim","single-stim-button","120","315011","0.0-119.0","dietary_decision","true","0","","Yes","870","decision","HoHo","1","14","FamousAmos","{""taste"":2,""health"":0}","{""taste"":1,""health"":0}","",""
"","688","","688","500","stim","single-stim-button","121","316205","0.0-120.0","dietary_decision","true","0","","Yes","688","decision","carrots","1","15","FamousAmos","{""taste"":1,""health"":0}","{""taste"":1,""health"":0}","",""
"","888","","888","500","stim","single-stim-button","122","317604","0.0-121.0","dietary_decision","true","0","","Yes","888","decision","uTwix","1","16","FamousAmos","{""taste"":0,""health"":0}","{""taste"":1,""health"":0}","",""
"","688","","688","500","stim","single-stim-button","123","318794","0.0-122.0","dietary_decision","true","0","","Yes","688","decision","FlamingCheetos","1","17","FamousAmos","{""taste"":0,""health"":-1}","{""taste"":1,""health"":0}","",""
"","1945","","1945","500","stim","single-stim-button","124","321252","0.0-123.0","dietary_decision","true","0","","Yes","1945","decision","uToberlorone","1","18","FamousAmos","{""taste"":""NaN"",""health"":1}","{""taste"":1,""health"":0}","",""
"","1460","","1460","500","stim","single-stim-button","125","323228","0.0-124.0","dietary_decision","true","0","","Yes","1460","decision","specialKbar","1","19","FamousAmos","{""taste"":1,""health"":1}","{""taste"":1,""health"":0}","",""
"","669","","669","500","stim","single-stim-button","126","324411","0.0-125.0","dietary_decision","true","0","","Yes","669","decision","blueberryyogart","1","20","FamousAmos","{""taste"":1,""health"":1}","{""taste"":1,""health"":0}","",""
"","770","","770","500","stim","single-stim-button","127","325696","0.0-126.0","dietary_decision","true","0","","Yes","770","decision","brocollincauliflower","1","21","FamousAmos","{""taste"":1,""health"":1}","{""taste"":1,""health"":0}","",""
"","660","","660","500","stim","single-stim-button","128","326863","0.0-127.0","dietary_decision","true","0","","Yes","660","decision","banana","1","22","FamousAmos","{""taste"":2,""health"":1}","{""taste"":1,""health"":0}","",""
"","589","","589","500","stim","single-stim-button","129","327962","0.0-128.0","dietary_decision","true","0","","Yes","589","decision","keeblerrainbow","1","23","FamousAmos","{""taste"":1,""health"":1}","{""taste"":1,""health"":0}","",""
"","602","","602","500","stim","single-stim-button","130","329077","0.0-129.0","dietary_decision","true","0","","Yes","602","decision","keeblerfudgestripes","1","24","FamousAmos","{""taste"":1,""health"":1}","{""taste"":1,""health"":0}","",""
"","650","","650","500","stim","single-stim-button","131","330243","0.0-130.0","dietary_decision","true","0","","Yes","650","decision","icecreamsandwich","1","25","FamousAmos","{""taste"":2,""health"":0}","{""taste"":1,""health"":0}","",""
"","834","","834","500","stim","single-stim-button","132","331592","0.0-131.0","dietary_decision","true","0","","Yes","834","decision","Oreos","1","26","FamousAmos","{""taste"":2,""health"":1}","{""taste"":1,""health"":0}","",""
"","668","","668","500","stim","single-stim-button","133","332770","0.0-132.0","dietary_decision","true","0","","Yes","668","decision","cherryicecream","1","27","FamousAmos","{""taste"":2,""health"":0}","{""taste"":1,""health"":0}","",""
"","530","","530","500","stim","single-stim-button","134","333804","0.0-133.0","dietary_decision","true","0","","Yes","530","decision","MrsFields","1","28","FamousAmos","{""taste"":2,""health"":1}","{""taste"":1,""health"":0}","",""
"","1320","","1320","500","stim","single-stim-button","135","335638","0.0-134.0","dietary_decision","true","0","","Yes","1320","decision","strussel","1","29","FamousAmos","{""taste"":0,""health"":0}","{""taste"":1,""health"":0}","",""
"","641","","641","500","stim","single-stim-button","136","336790","0.0-135.0","dietary_decision","true","0","","Yes","641","decision","100Grand","1","30","FamousAmos","{""taste"":1,""health"":1}","{""taste"":1,""health"":0}","",""
"","559","","559","500","stim","single-stim-button","137","337862","0.0-136.0","dietary_decision","true","0","","Yes","559","decision","cookies","1","31","FamousAmos","{""taste"":1,""health"":1}","{""taste"":1,""health"":0}","",""
"","612","","612","500","stim","single-stim-button","138","338985","0.0-137.0","dietary_decision","true","0","","Yes","612","decision","cranberries","1","32","FamousAmos","{""taste"":2,""health"":0}","{""taste"":1,""health"":0}","",""
"","659","","659","500","stim","single-stim-button","139","340161","0.0-138.0","dietary_decision","true","0","","Yes","659","decision","whitegrapes","1","33","FamousAmos","{""taste"":2,""health"":1}","{""taste"":1,""health"":0}","",""
"","800","","800","500","stim","single-stim-button","140","341469","0.0-139.0","dietary_decision","true","0","","Yes","800","decision","Ghiradelli","1","34","FamousAmos","{""taste"":2,""health"":-1}","{""taste"":1,""health"":0}","",""
"","688","","688","500","stim","single-stim-button","141","342663","0.0-140.0","dietary_decision","true","0","","Yes","688","decision","ruffles","1","35","FamousAmos","{""taste"":0,""health"":-1}","{""taste"":1,""health"":0}","",""
"","572","","572","500","stim","single-stim-button","142","343739","0.0-141.0","dietary_decision","true","0","","Yes","572","decision","cookiencream","1","36","FamousAmos","{""taste"":1,""health"":1}","{""taste"":1,""health"":0}","",""
"","554","","554","500","stim","single-stim-button","143","344804","0.0-142.0","dietary_decision","true","0","","Yes","554","decision","wheatcrisps","1","37","FamousAmos","{""taste"":""NaN"",""health"":0}","{""taste"":1,""health"":0}","",""
"","562","","562","500","stim","single-stim-button","144","345871","0.0-143.0","dietary_decision","true","0","","Yes","562","decision","sbdietbar","1","38","FamousAmos","{""taste"":1,""health"":1}","{""taste"":1,""health"":0}","",""
"","642","","642","500","stim","single-stim-button","145","347026","0.0-144.0","dietary_decision","true","0","","Yes","642","decision","wwbrownie","1","39","FamousAmos","{""taste"":1,""health"":0}","{""taste"":1,""health"":0}","",""
"","620","","620","500","stim","single-stim-button","146","348153","0.0-145.0","dietary_decision","true","0","","Yes","620","decision","orangejello","1","40","FamousAmos","{""taste"":2,""health"":0}","{""taste"":1,""health"":0}","",""
"","636","","636","500","stim","single-stim-button","147","349294","0.0-146.0","dietary_decision","true","0","","Yes","636","decision","ffraspsorbet","1","41","FamousAmos","{""taste"":2,""health"":-1}","{""taste"":1,""health"":0}","",""
"","1520","","1520","500","stim","single-stim-button","148","351328","0.0-147.0","dietary_decision","true","0","","No","1520","decision","sbcrackers","-1","42","FamousAmos","{""taste"":0,""health"":0}","{""taste"":1,""health"":0}","",""
"","1047","","1047","500","stim","single-stim-button","149","352886","0.0-148.0","dietary_decision","true","0","","No","1047","decision","reddelicious","-1","43","FamousAmos","{""taste"":2,""health"":0}","{""taste"":1,""health"":0}","",""
"","713","","713","500","stim","single-stim-button","150","354111","0.0-149.0","dietary_decision","true","0","","No","713","decision","raisins","-1","44","FamousAmos","{""taste"":1,""health"":1}","{""taste"":1,""health"":0}","",""
"","853","","853","500","stim","single-stim-button","151","355470","0.0-150.0","dietary_decision","true","0","","No","853","decision","slimfastC","-1","45","FamousAmos","{""taste"":1,""health"":1}","{""taste"":1,""health"":0}","",""
"","751","","751","500","stim","single-stim-button","152","356728","0.0-151.0","dietary_decision","true","0","","No","751","decision","grannysmith","-1","46","FamousAmos","{""taste"":1,""health"":""NaN""}","{""taste"":1,""health"":0}","",""
"","701","","701","500","stim","single-stim-button","153","357942","0.0-152.0","dietary_decision","true","0","","No","701","decision","cellery","-1","47","FamousAmos","{""taste"":1,""health"":0}","{""taste"":1,""health"":0}","",""
"","761","","761","500","stim","single-stim-button","154","359210","0.0-153.0","dietary_decision","true","0","","No","761","decision","wwmuffin","-1","48","FamousAmos","{""taste"":2,""health"":0}","{""taste"":1,""health"":0}","",""
"","69608","","","","post task questions","survey-text","155","429334","0.0-154.0","dietary_decision","true","0","","","","","","","","","","","{""Q0"":""healthy diet to-do list"",""Q1"":""GREAT SURVEY""}",""
