"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","mouse_click","stim_duration","exp_stage","stim","coded_response","trial_num","reference","stim_rating","reference_rating","responses","credit_var"
"","1261","","1261","500","stim","single-stim-button","23","131358","0.0-22.0","dietary_decision","true","0","","Neutral","1261","health_rating","Lindt","0","20","","","","",""
"","593","","593","500","stim","single-stim-button","24","132457","0.0-23.0","dietary_decision","true","0","","Neutral","593","health_rating","butterfinger","0","21","","","","",""
"","565","","565","500","stim","single-stim-button","25","133535","0.0-24.0","dietary_decision","true","0","","Neutral","565","health_rating","blueberryyogart","0","22","","","","",""
"","583","","583","500","stim","single-stim-button","26","134631","0.0-25.0","dietary_decision","true","0","","Neutral","583","health_rating","carrots","0","23","","","","",""
"","586","","586","500","stim","single-stim-button","27","135720","0.0-26.0","dietary_decision","true","0","","Neutral","586","health_rating","orange","0","24","","","","",""
"","486","","486","500","stim","single-stim-button","28","136718","0.0-27.0","dietary_decision","true","0","","Neutral","486","health_rating","cherryicecream","0","25","","","","",""
"","314","","314","500","stim","single-stim-button","29","137544","0.0-28.0","dietary_decision","true","0","","Neutral","314","health_rating","keeblerrainbow","0","26","","","","",""
"","551","","551","500","stim","single-stim-button","30","138597","0.0-29.0","dietary_decision","true","0","","Neutral","551","health_rating","cookies","0","27","","","","",""
"","390","","390","500","stim","single-stim-button","31","139489","0.0-30.0","dietary_decision","true","0","","Neutral","390","health_rating","cranberries","0","28","","","","",""
"","335","","335","500","stim","single-stim-button","32","140325","0.0-31.0","dietary_decision","true","0","","Neutral","335","health_rating","ruffles","0","29","","","","",""
"","440","","440","500","stim","single-stim-button","33","141275","0.0-32.0","dietary_decision","true","0","","Neutral","440","health_rating","banana","0","30","","","","",""
"","365","","365","500","stim","single-stim-button","34","142150","0.0-33.0","dietary_decision","true","0","","Neutral","365","health_rating","sbdietbar","0","31","","","","",""
"","391","","391","500","stim","single-stim-button","35","143054","0.0-34.0","dietary_decision","true","0","","Neutral","391","health_rating","slimfastC","0","32","","","","",""
"","770","","770","500","stim","single-stim-button","36","144338","0.0-35.0","dietary_decision","true","0","","Healthy","770","health_rating","keeblerfudgestripes","1","33","","","","",""
"","822","","822","500","stim","single-stim-button","37","145662","0.0-36.0","dietary_decision","true","0","","Neutral","822","health_rating","uToberlorone","0","34","","","","",""
"","1783","","1783","500","stim","single-stim-button","38","147949","0.0-37.0","dietary_decision","true","0","","Unhealthy","1783","health_rating","cellery","-1","35","","","","",""
"","1079","","1079","500","stim","single-stim-button","39","149541","0.0-38.0","dietary_decision","true","0","","Unhealthy","1079","health_rating","wheatcrisps","-1","36","","","","",""
"","1406","","1406","500","stim","single-stim-button","40","151460","0.0-39.0","dietary_decision","true","0","","Neutral","1406","health_rating","FamousAmos","0","37","","","","",""
"","1091","","1091","500","stim","single-stim-button","41","153058","0.0-40.0","dietary_decision","true","0","","Healthy","1091","health_rating","mixedyogart","1","38","","","","",""
"","936","","936","500","stim","single-stim-button","42","154509","0.0-41.0","dietary_decision","true","0","","Healthy","936","health_rating","100Grand","1","39","","","","",""
"","1484","","1484","500","stim","single-stim-button","43","156499","0.0-42.0","dietary_decision","true","0","","Neutral","1484","health_rating","slimfastV","0","40","","","","",""
"","878","","878","500","stim","single-stim-button","44","157888","0.0-43.0","dietary_decision","true","0","","Neutral","878","health_rating","Reeses","0","41","","","","",""
"","1963","","1963","500","stim","single-stim-button","45","160360","0.0-44.0","dietary_decision","true","0","","Neutral","1963","health_rating","uTwix","0","42","","","","",""
"","611","","611","500","stim","single-stim-button","46","161479","0.0-45.0","dietary_decision","true","0","","Neutral","611","health_rating","grannysmith","0","43","","","","",""
"","1562","","1562","500","stim","single-stim-button","47","163551","0.0-46.0","dietary_decision","true","0","","Neutral","1562","health_rating","wwmuffin","0","44","","","","",""
"","732","","732","500","stim","single-stim-button","48","164797","0.0-47.0","dietary_decision","true","0","","Neutral","732","health_rating","ffraspsorbet","0","45","","","","",""
"","709","","709","500","stim","single-stim-button","49","166020","0.0-48.0","dietary_decision","true","0","","Neutral","709","health_rating","FlamingCheetos","0","46","","","","",""
"","628","","628","500","stim","single-stim-button","50","167160","0.0-49.0","dietary_decision","true","0","","Neutral","628","health_rating","RiceKrispyTreat","0","47","","","","",""
"","709","","709","500","stim","single-stim-button","51","168380","0.0-50.0","dietary_decision","true","0","","Neutral","709","health_rating","specialKbar","0","48","","","","",""
"","2096","","2096","500","stim","single-stim-button","52","170989","0.0-51.0","dietary_decision","true","0","","Neutral","2096","health_rating","brocollincauliflower","0","49","","","","",""
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the tastiness of each food item without regard for its healthiness. Press <strong>enter</strong> to begin.</p></div>","3063","13","3063","500","start_taste","poldrack-text","53","174562","0.0-52.0","dietary_decision","true","0","","","","","","","","","","","",""
"","-1","","4000","500","stim","single-stim-button","54","179076","0.0-53.0","dietary_decision","true","0","","-1","4000","taste_rating","Oreos","NaN","0","","","","",""
"","3110","","3110","500","stim","single-stim-button","55","182687","0.0-54.0","dietary_decision","true","0","","Good","3110","taste_rating","redgrapes","1","1","","","","",""
"","2095","","2095","500","stim","single-stim-button","56","185294","0.0-55.0","dietary_decision","true","0","","Bad","2095","taste_rating","HoHo","-1","2","","","","",""
"","1405","","1405","500","stim","single-stim-button","57","187212","0.0-56.0","dietary_decision","true","0","","Bad","1405","taste_rating","banana","-1","3","","","","",""
"","1401","","1401","500","stim","single-stim-button","58","189125","0.0-57.0","dietary_decision","true","0","","Bad","1401","taste_rating","100Grand","-1","4","","","","",""
"","795","","795","500","stim","single-stim-button","59","190433","0.0-58.0","dietary_decision","true","0","","Bad","795","taste_rating","ChipsAhoy","-1","5","","","","",""
"","610","","610","500","stim","single-stim-button","60","191557","0.0-59.0","dietary_decision","true","0","","Bad","610","taste_rating","orangejello","-1","6","","","","",""
"","610","","610","500","stim","single-stim-button","61","192676","0.0-60.0","dietary_decision","true","0","","Bad","610","taste_rating","orange","-1","7","","","","",""
"","660","","660","500","stim","single-stim-button","62","193848","0.0-61.0","dietary_decision","true","0","","Bad","660","taste_rating","wwbrownie","-1","8","","","","",""
"","627","","627","500","stim","single-stim-button","63","194976","0.0-62.0","dietary_decision","true","0","","Bad","627","taste_rating","raisins","-1","9","","","","",""
"","655","","655","500","stim","single-stim-button","64","196142","0.0-63.0","dietary_decision","true","0","","Bad","655","taste_rating","cellery","-1","10","","","","",""
"","641","","641","500","stim","single-stim-button","65","197296","0.0-64.0","dietary_decision","true","0","","Bad","641","taste_rating","frozenyogart","-1","11","","","","",""
"","-1","","4000","500","stim","single-stim-button","66","201813","0.0-65.0","dietary_decision","true","0","","-1","4000","taste_rating","laysclassic","NaN","12","","","","",""
"","1702","","1702","500","stim","single-stim-button","67","204028","0.0-66.0","dietary_decision","true","0","","Neutral","1702","taste_rating","ffraspsorbet","0","13","","","","",""
"","2624","","2624","500","stim","single-stim-button","68","207166","0.0-67.0","dietary_decision","true","0","","Good","2624","taste_rating","grannysmith","1","14","","","","",""
"","1621","","1621","500","stim","single-stim-button","69","209298","0.0-68.0","dietary_decision","true","0","","Neutral","1621","taste_rating","uToberlorone","0","15","","","","",""
"","1338","","1338","500","stim","single-stim-button","70","211145","0.0-69.0","dietary_decision","true","0","","Bad","1338","taste_rating","MrsFields","-1","16","","","","",""
"","1466","","1466","500","stim","single-stim-button","71","213125","0.0-70.0","dietary_decision","true","0","","Bad","1466","taste_rating","sbdietbar","-1","17","","","","",""
"","1889","","1889","500","stim","single-stim-button","72","215529","0.0-71.0","dietary_decision","true","0","","Bad","1889","taste_rating","slimfastV","-1","18","","","","",""
"","1373","","1373","500","stim","single-stim-button","73","217415","0.0-72.0","dietary_decision","true","0","","Bad","1373","taste_rating","ruffles","-1","19","","","","",""
"","988","","988","500","stim","single-stim-button","74","218918","0.0-73.0","dietary_decision","true","0","","Bad","988","taste_rating","strussel","-1","20","","","","",""
"","656","","656","500","stim","single-stim-button","75","220084","0.0-74.0","dietary_decision","true","0","","Bad","656","taste_rating","keeblerrainbow","-1","21","","","","",""
"","608","","608","500","stim","single-stim-button","76","221205","0.0-75.0","dietary_decision","true","0","","Bad","608","taste_rating","Ghiradelli","-1","22","","","","",""
"","593","","593","500","stim","single-stim-button","77","222308","0.0-76.0","dietary_decision","true","0","","Bad","593","taste_rating","mixedyogart","-1","23","","","","",""
"","655","","655","500","stim","single-stim-button","78","223474","0.0-77.0","dietary_decision","true","0","","Bad","655","taste_rating","wheatcrisps","-1","24","","","","",""
"","1312","","1312","500","stim","single-stim-button","79","225298","0.0-78.0","dietary_decision","true","0","","Neutral","1312","taste_rating","FamousAmos","0","25","","","","",""
"","719","","719","500","stim","single-stim-button","80","226530","0.0-79.0","dietary_decision","true","0","","Bad","719","taste_rating","butterfinger","-1","26","","","","",""
"","985","","985","500","stim","single-stim-button","81","228029","0.0-80.0","dietary_decision","true","0","","Neutral","985","taste_rating","keeblerfudgestripes","0","27","","","","",""
"","910","","910","500","stim","single-stim-button","82","229439","0.0-81.0","dietary_decision","true","0","","Bad","910","taste_rating","cookies","-1","28","","","","",""
"","1031","","1031","500","stim","single-stim-button","83","230980","0.0-82.0","dietary_decision","true","0","","Bad","1031","taste_rating","Reeses","-1","29","","","","",""
"","1001","","1001","500","stim","single-stim-button","84","232493","0.0-83.0","dietary_decision","true","0","","Bad","1001","taste_rating","icecreamsandwich","-1","30","","","","",""
"","2032","","2032","500","stim","single-stim-button","85","235036","0.0-84.0","dietary_decision","true","0","","Bad","2032","taste_rating","carrots","-1","31","","","","",""
"","721","","721","500","stim","single-stim-button","86","236268","0.0-85.0","dietary_decision","true","0","","Bad","721","taste_rating","FlamingCheetos","-1","32","","","","",""
"","659","","659","500","stim","single-stim-button","87","237443","0.0-86.0","dietary_decision","true","0","","Bad","659","taste_rating","strawberries","-1","33","","","","",""
"","1990","","1990","500","stim","single-stim-button","88","239944","0.0-87.0","dietary_decision","true","0","","Very_Good","1990","taste_rating","reddelicious","2","34","","","","",""
"","1642","","1642","500","stim","single-stim-button","89","242100","0.0-88.0","dietary_decision","true","0","","Bad","1642","taste_rating","slimfastC","-1","35","","","","",""
"","1821","","1821","500","stim","single-stim-button","90","244430","0.0-89.0","dietary_decision","true","0","","Bad","1821","taste_rating","Doritosranch","-1","36","","","","",""
