text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,exp_id,full_screen,focus_shifts,view_history,mouse_click,stim_duration,exp_stage,stim,coded_response,trial_num,reference,stim_rating,reference_rating,responses,credit_var,subject
,436.0,,436.0,500.0,stim,single-stim-button,127,313599,0.0-127.0,dietary_decision,True,0,,Yes,436.0,decision,slimfastV,1.0,21.0,icecreamsandwich,"{""health"":0,""taste"":-1}","{""health"":0,""taste"":-1}",,,4
,950.0,,950.0,500.0,stim,single-stim-button,128,315061,0.0-128.0,dietary_decision,True,0,,Yes,950.0,decision,brocollincauliflower,1.0,22.0,icecreamsandwich,"{""health"":0,""taste"":0}","{""health"":0,""taste"":-1}",,,4
,642.0,,642.0,500.0,stim,single-stim-button,129,316217,0.0-129.0,dietary_decision,True,0,,Yes,642.0,decision,ffraspsorbet,1.0,23.0,icecreamsandwich,"{""health"":0,""taste"":0}","{""health"":0,""taste"":-1}",,,4
,891.0,,891.0,500.0,stim,single-stim-button,130,317621,0.0-130.0,dietary_decision,True,0,,Yes,891.0,decision,MrsFields,1.0,24.0,icecreamsandwich,"{""health"":0,""taste"":-1}","{""health"":0,""taste"":-1}",,,4
,1097.0,,1097.0,500.0,stim,single-stim-button,131,319230,0.0-131.0,dietary_decision,True,0,,Yes,1097.0,decision,Reeses,1.0,25.0,icecreamsandwich,"{""health"":0,""taste"":-1}","{""health"":0,""taste"":-1}",,,4
,565.0,,565.0,500.0,stim,single-stim-button,132,320310,0.0-132.0,dietary_decision,True,0,,Yes,565.0,decision,sbcrackers,1.0,26.0,icecreamsandwich,"{""health"":-1,""taste"":0}","{""health"":0,""taste"":-1}",,,4
,391.0,,391.0,500.0,stim,single-stim-button,133,321214,0.0-133.0,dietary_decision,True,0,,Yes,391.0,decision,laysclassic,1.0,27.0,icecreamsandwich,"{""health"":-1,""taste"":""NaN""}","{""health"":0,""taste"":-1}",,,4
,409.0,,409.0,500.0,stim,single-stim-button,134,322124,0.0-134.0,dietary_decision,True,0,,Yes,409.0,decision,FamousAmos,1.0,28.0,icecreamsandwich,"{""health"":0,""taste"":0}","{""health"":0,""taste"":-1}",,,4
,377.0,,377.0,500.0,stim,single-stim-button,135,323003,0.0-135.0,dietary_decision,True,0,,Yes,377.0,decision,keeblerfudgestripes,1.0,29.0,icecreamsandwich,"{""health"":1,""taste"":0}","{""health"":0,""taste"":-1}",,,4
,350.0,,350.0,500.0,stim,single-stim-button,136,323870,0.0-136.0,dietary_decision,True,0,,Yes,350.0,decision,Doritosranch,1.0,30.0,icecreamsandwich,"{""health"":-1,""taste"":-1}","{""health"":0,""taste"":-1}",,,4
,362.0,,362.0,500.0,stim,single-stim-button,137,324734,0.0-137.0,dietary_decision,True,0,,Yes,362.0,decision,orange,1.0,31.0,icecreamsandwich,"{""health"":0,""taste"":-1}","{""health"":0,""taste"":-1}",,,4
,345.0,,345.0,500.0,stim,single-stim-button,138,325589,0.0-138.0,dietary_decision,True,0,,Yes,345.0,decision,specialKbar,1.0,32.0,icecreamsandwich,"{""health"":0,""taste"":-1}","{""health"":0,""taste"":-1}",,,4
,398.0,,398.0,500.0,stim,single-stim-button,139,326489,0.0-139.0,dietary_decision,True,0,,Yes,398.0,decision,KitKat,1.0,33.0,icecreamsandwich,"{""health"":-1,""taste"":0}","{""health"":0,""taste"":-1}",,,4
